iupac,smiles,expt,calc,inchi,selfies,iupac_name,expt_cat,target_2,target_5
"4-methoxy-N,N-dimethyl-benzamide",CN(C)C(=O)c1ccc(cc1)OC,-11.01,-9.625,"InChI=1S/C10H13NO2/c1-11(2)10(12)8-4-6-9(13-3)7-5-8/h4-7H,1-3H3",[C][N][Branch1][C][C][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C],"4-methoxy-n,n-dimethylbenzamide",medium,0,0
methanesulfonyl chloride,CS(=O)(=O)Cl,-4.87,-6.219,"InChI=1S/CH3ClO2S/c1-5(2,3)4/h1H3",[C][S][=Branch1][C][=O][=Branch1][C][=O][Cl],methanesulfonyl chloride,large,0,1
3-methylbut-1-ene,CC(C)C=C,1.83,2.452,"InChI=1S/C5H10/c1-4-5(2)3/h4-5H,1H2,2-3H3",[C][C][Branch1][C][C][C][=C],3-methylbut-1-ene,very large,1,4
2-ethylpyrazine,CCc1cnccn1,-5.45,-5.809,"InChI=1S/C6H8N2/c1-2-6-5-7-3-4-8-6/h3-5H,2H2,1H3",[C][C][C][=C][N][=C][C][=N][Ring1][=Branch1],2-ethylpyrazine,large,0,1
heptan-1-ol,CCCCCCCO,-4.21,-2.917,"InChI=1S/C7H16O/c1-2-3-4-5-6-7-8/h8H,2-7H2,1H3",[C][C][C][C][C][C][C][O],heptan-1-ol,large,0,2
"3,5-dimethylphenol",Cc1cc(cc(c1)O)C,-6.27,-5.444,"InChI=1S/C8H10O/c1-6-3-7(2)5-8(9)4-6/h3-5,9H,1-2H3",[C][C][=C][C][=Branch1][=Branch2][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C],"3,5-dimethylphenol",large,0,0
"2,3-dimethylbutane",CC(C)C(C)C,2.34,2.468,"InChI=1S/C6H14/c1-5(2)6(3)4/h5-6H,1-4H3",[C][C][Branch1][C][C][C][Branch1][C][C][C],"2,3-dimethylbutane",very large,1,4
2-methylpentan-2-ol,CCCC(C)(C)O,-3.92,-2.779,"InChI=1S/C6H14O/c1-4-5-6(2,3)7/h7H,4-5H2,1-3H3",[C][C][C][C][Branch1][C][C][Branch1][C][C][O],2-methylpentan-2-ol,large,0,2
"1,2-dimethylcyclohexane",C[C@@H]1CCCC[C@@H]1C,1.58,1.685,"InChI=1S/C8H16/c1-7-5-3-4-6-8(7)2/h7-8H,3-6H2,1-2H3/t7-,8+",[C][C@@H1][C][C][C][C][C@@H1][Ring1][=Branch1][C],"(1s,2r)-1,2-dimethylcyclohexane",very large,1,4
butan-2-ol,CC[C@H](C)O,-4.62,-3.145,"InChI=1S/C4H10O/c1-3-4(2)5/h4-5H,3H2,1-2H3/t4-/m0/s1",[C][C][C@H1][Branch1][C][C][O],(2s)-butan-2-ol,large,0,1
