CMPD_CHEMBLID,exp,smiles,inchi,selfies,iupac_name,exp_cat,target_2,target_5
CHEMBL596271,3.54,Cn1c(CN2CCN(CC2)c3ccc(Cl)cc3)nc4ccccc14,"InChI=1S/C19H21ClN4/c1-22-18-5-3-2-4-17(18)21-19(22)14-23-10-12-24(13-11-23)16-8-6-15(20)7-9-16/h2-9H,10-14H2,1H3",[C][N][C][Branch2][Ring1][#Branch1][C][N][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][=N][C][=C][C][=C][C][=C][Ring2][Ring1][#Branch1][Ring1][=Branch1],2-[[4-(4-chlorophenyl)piperazin-1-yl]methyl]-1-methylbenzimidazole,very large,1,4
CHEMBL1771,3.69,COC(=O)[C@@H](N1CCc2sccc2C1)c3ccccc3Cl,"InChI=1S/C16H16ClNO2S/c1-20-16(19)15(12-4-2-3-5-13(12)17)18-8-6-14-11(10-18)7-9-21-14/h2-5,7,9,15H,6,8,10H2,1H3/t15-/m0/s1",[C][O][C][=Branch1][C][=O][C@@H1][Branch1][=C][N][C][C][C][S][C][=C][C][=Ring1][Branch1][C][Ring1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl],"methyl (2s)-2-(2-chlorophenyl)-2-(6,7-dihydro-4h-thieno[3,2-c]pyridin-5-yl)acetate",very large,1,4
CHEMBL234951,3.37,OC[C@H](O)CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3,"InChI=1S/C19H18ClN3O4S/c20-16-7-11-6-13(22-18(11)28-16)17(26)21-14-5-10-3-1-2-4-15(10)23(19(14)27)8-12(25)9-24/h1-4,6-7,12,14,22,24-25H,5,8-9H2,(H,21,26)/t12-,14?/m1/s1",[O][C][C@H1][Branch1][C][O][C][N][C][=Branch1][C][=O][C][Branch1][N][C][C][=C][C][=C][C][=C][Ring1][O][Ring1][=Branch1][N][C][=Branch1][C][=O][C][=C][C][C][=C][Branch1][C][Cl][S][C][=Ring1][=Branch1][NH1][Ring1][=Branch2],"2-chloro-n-[1-[(2r)-2,3-dihydroxypropyl]-2-oxo-3,4-dihydroquinolin-3-yl]-6h-thieno[3,2-d]pyrrole-5-carboxamide",very large,1,4
CHEMBL13097,3.05,COc1ccc(cc1)C2=COc3cc(OC)cc(OC)c3C2=O,"InChI=1S/C18H16O5/c1-20-12-6-4-11(5-7-12)14-10-23-16-9-13(21-2)8-15(22-3)17(16)18(14)19/h4-10H,1-3H3",[C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][O][C][=C][C][Branch1][Ring1][O][C][=C][C][Branch1][Ring1][O][C][=C][Ring1][#Branch2][C][Ring1][=C][=O],"5,7-dimethoxy-3-(4-methoxyphenyl)chromen-4-one",large,1,3
CHEMBL276218,-0.08,O=C1CCCCCN1,"InChI=1S/C6H11NO/c8-6-4-2-1-3-5-7-6/h1-5H2,(H,7,8)",[O][=C][C][C][C][C][C][N][Ring1][#Branch1],azepan-2-one,small,0,0
CHEMBL93884,3.2,Nc1ccc(cc1)c2nc3ccc(O)cc3s2,"InChI=1S/C13H10N2OS/c14-9-3-1-8(2-4-9)13-15-11-6-5-10(16)7-12(11)17-13/h1-7,16H,14H2",[N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=N][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][S][Ring1][#Branch2],"2-(4-aminophenyl)-1,3-benzothiazol-6-ol",large,1,3
CHEMBL190044,3.77,CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(N(C)C)c2ccccc2,"InChI=1S/C22H29NO5/c1-7-22(23(2)3,17-11-9-8-10-12-17)15-28-21(24)16-13-18(25-4)20(27-6)19(14-16)26-5/h8-14H,7,15H2,1-6H3",[C][C][C][Branch2][Ring1][O][C][O][C][=Branch1][C][=O][C][=C][C][Branch1][Ring1][O][C][=C][Branch1][Ring1][O][C][C][Branch1][Ring1][O][C][=C][Ring1][N][Branch1][=Branch1][N][Branch1][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],"(2-dimethylamino-2-phenylbutyl) 3,4,5-trimethoxybenzoate",very large,1,4
CHEMBL469790,3.15,COc1cc(ccc1N2CC[C@@H](O)C2)N3N=Nc4cc(sc4C3=O)c5ccc(Cl)cc5,"InChI=1S/C22H19ClN4O3S/c1-30-19-10-15(6-7-18(19)26-9-8-16(28)12-26)27-22(29)21-17(24-25-27)11-20(31-21)13-2-4-14(23)5-3-13/h2-7,10-11,16,28H,8-9,12H2,1H3/t16-/m1/s1",[C][O][C][=C][C][=Branch1][S][=C][C][=C][Ring1][=Branch1][N][C][C][C@@H1][Branch1][C][O][C][Ring1][=Branch1][N][N][=N][C][C][=C][Branch1][=Branch2][S][C][=Ring1][Branch1][C][Ring1][=Branch2][=O][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1],"6-(4-chlorophenyl)-3-[4-[(3r)-3-hydroxypyrrolidin-1-yl]-3-methoxyphenyl]thieno[2,3-e]triazin-4-one",large,1,3
CHEMBL641,1.2,CNCC[C@@H](Oc1ccccc1C)c2ccccc2,"InChI=1S/C17H21NO/c1-14-8-6-7-11-16(14)19-17(12-13-18-2)15-9-4-3-5-10-15/h3-11,17-18H,12-13H2,1-2H3/t17-/m1/s1",[C][N][C][C][C@@H1][Branch1][O][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][=C][C][=C][C][=C][Ring1][=Branch1],(3r)-n-methyl-3-(2-methylphenoxy)-3-phenylpropan-1-amine,medium,0,1
CHEMBL1381135,1.9,COc1cnc(nc1N(C)C)c2ccccn2,"InChI=1S/C12H14N4O/c1-16(2)12-10(17-3)8-14-11(15-12)9-6-4-5-7-13-9/h4-8H,1-3H3",[C][O][C][=C][N][=C][Branch1][#Branch2][N][=C][Ring1][=Branch1][N][Branch1][C][C][C][C][=C][C][=C][C][=N][Ring1][=Branch1],"5-methoxy-n,n-dimethyl-2-pyridin-2-ylpyrimidin-4-amine",medium,0,2
CHEMBL103,3.94,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,"InChI=1S/C21H30O2/c1-13(22)17-6-7-18-16-5-4-14-12-15(23)8-10-20(14,2)19(16)9-11-21(17,18)3/h12,16-19H,4-11H2,1-3H3/t16-,17+,18-,19-,20-,21+/m0/s1",[C][C][=Branch1][C][=O][C@H1][C][C][C@H1][C@@H1][C][C][C][=C][C][=Branch1][C][=O][C][C][C@][Ring1][#Branch1][Branch1][C][C][C@H1][Ring1][N][C][C][C@][Ring2][Ring1][Ring1][Ring1][S][C],"(8s,9s,10r,13s,14s,17s)-17-acetyl-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one",very large,1,4
CHEMBL1557436,3.62,CN(C)c1ccnc2sc(C(=O)NCc3ccccc3)c(N)c12,"InChI=1S/C17H18N4OS/c1-21(2)12-8-9-19-17-13(12)14(18)15(23-17)16(22)20-10-11-6-4-3-5-7-11/h3-9H,10,18H2,1-2H3,(H,20,22)",[C][N][Branch1][C][C][C][=C][C][=N][C][S][C][Branch1][#C][C][=Branch1][C][=O][N][C][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Branch1][C][N][C][Ring2][Ring1][Ring2][=Ring1][S],"3-amino-4-dimethylamino-n-(phenylmethyl)thieno[5,4-b]pyridine-2-carboxamide",very large,1,4
CHEMBL2087849,4.33,Cn1cncc1c2c3C(=O)N(CC4CC4)C(=O)N(CC5CC5)c3nn2Cc6ccnc7ccc(Cl)cc67,"InChI=1S/C27H26ClN7O2/c1-32-15-29-11-22(32)24-23-25(31-35(24)14-18-8-9-30-21-7-6-19(28)10-20(18)21)33(12-16-2-3-16)27(37)34(26(23)36)13-17-4-5-17/h6-11,15-17H,2-5,12-14H2,1H3",[C][N][C][=N][C][=C][Ring1][Branch1][C][=C][C][=Branch1][C][=O][N][Branch1][#Branch1][C][C][C][C][Ring1][Ring1][C][=Branch1][C][=O][N][Branch1][#Branch1][C][C][C][C][Ring1][Ring1][C][Ring1][S][=N][N][Ring2][Ring1][Ring1][C][C][=C][C][=N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][O][Ring1][#Branch1],"2-[(6-chloroquinolin-4-yl)methyl]-5,7-bis(cyclopropylmethyl)-3-(3-methylimidazol-4-yl)pyrazolo[4,3-e]pyrimidine-4,6-dione",very large,1,4
CHEMBL168899,1.4,OB1N(C(=O)Nc2ccccc12)c3ccccc3,"InChI=1S/C13H11BN2O2/c17-13-15-12-9-5-4-8-11(12)14(18)16(13)10-6-2-1-3-7-10/h1-9,18H,(H,15,17)",[O][B][N][Branch1][S][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][O][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],"1-hydroxy-2-phenyl-4h-2,4,1-benzodiazaborinin-3-one",medium,0,1
CHEMBL517,-0.54,CC(C)N(CCC(C(=O)N)(c1ccccc1)c2ccccn2)C(C)C,"InChI=1S/C21H29N3O/c1-16(2)24(17(3)4)15-13-21(20(22)25,18-10-6-5-7-11-18)19-12-8-9-14-23-19/h5-12,14,16-17H,13,15H2,1-4H3,(H2,22,25)",[C][C][Branch1][C][C][N][Branch2][Ring1][=N][C][C][C][Branch1][=Branch1][C][=Branch1][C][=O][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=N][Ring1][=Branch1][C][Branch1][C][C][C],4-(di(propan-2-yl)amino)-2-phenyl-2-pyridin-2-ylbutanamide,very small,0,0
CHEMBL1550278,3.4,CC(Nc1ncnc2ccccc12)c3ccccc3,"InChI=1S/C16H15N3/c1-12(13-7-3-2-4-8-13)19-16-14-9-5-6-10-15(14)17-11-18-16/h2-12H,1H3,(H,17,18,19)",[C][C][Branch1][S][N][C][=N][C][=N][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],n-(1-phenylethyl)quinazolin-4-amine,very large,1,4
CHEMBL1096,1.1,CC(C)c1ccc2Oc3nc(N)c(cc3C(=O)c2c1)C(=O)O,"InChI=1S/C16H14N2O4/c1-7(2)8-3-4-12-9(5-8)13(19)10-6-11(16(20)21)14(17)18-15(10)22-12/h3-7H,1-2H3,(H2,17,18)(H,20,21)",[C][C][Branch1][C][C][C][=C][C][=C][O][C][=N][C][Branch1][C][N][=C][Branch1][#C][C][=C][Ring1][#Branch1][C][=Branch1][C][=O][C][Ring1][N][=C][Ring1][S][C][=Branch1][C][=O][O],"2-amino-5-oxo-7-propan-2-ylchromeno[3,2-e]pyridine-3-carboxylic acid",medium,0,1
CHEMBL1807822,2.28,O[C@@H](CNCCCOCCOCCc1cccc2ccccc12)c3ccc(O)c4NC(=O)Sc34,"InChI=1S/C26H30N2O5S/c29-22-10-9-21(25-24(22)28-26(31)34-25)23(30)17-27-12-4-13-32-15-16-33-14-11-19-7-3-6-18-5-1-2-8-20(18)19/h1-3,5-10,23,27,29-30H,4,11-17H2,(H,28,31)/t23-/m0/s1",[O][C@@H1][Branch2][Ring1][#Branch2][C][N][C][C][C][O][C][C][O][C][C][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1][C][=C][C][=C][Branch1][C][O][C][N][C][=Branch1][C][=O][S][C][Ring1][O][=Ring1][=Branch1],"4-hydroxy-7-[(1r)-1-hydroxy-2-[3-[2-(2-naphthalen-1-ylethoxy)ethoxy]propylamino]ethyl]-3h-1,3-benzothiazol-2-one",large,1,2
CHEMBL1310086,3.47,COc1ccccc1Cn2c(C)nc3ccccc23,"InChI=1S/C16H16N2O/c1-12-17-14-8-4-5-9-15(14)18(12)11-13-7-3-6-10-16(13)19-2/h3-10H,11H2,1-2H3",[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][N][C][Branch1][C][C][=N][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1],1-[(2-methoxyphenyl)methyl]-2-methylbenzimidazole,very large,1,4
CHEMBL484901,-1.17,NC(Cc1c[nH]c2ccccc12)C(=O)O,"InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)",[N][C][Branch1][#C][C][C][=C][NH1][C][=C][C][=C][C][=C][Ring1][=Branch2][Ring1][=Branch1][C][=Branch1][C][=O][O],2-amino-3-(1h-indol-3-yl)propanoic acid,very small,0,0
CHEMBL1415894,3.8,N(c1ccccc1)c2cc(Nc3ccccc3)[nH]n2,"InChI=1S/C15H14N4/c1-3-7-12(8-4-1)16-14-11-15(19-18-14)17-13-9-5-2-6-10-13/h1-11H,(H3,16,17,18,19)",[N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][=C][Branch1][#Branch2][N][C][=C][C][=C][C][=C][Ring1][=Branch1][NH1][N][=Ring1][N],"n,n'-di(phenyl)-1h-pyrazole-3,5-diamine",very large,1,4
CHEMBL12980,1.19,OC(C(=O)OC1CN2CCC1CC2)(c3ccccc3)c4ccccc4,"InChI=1S/C21H23NO3/c23-20(25-19-15-22-13-11-16(19)12-14-22)21(24,17-7-3-1-4-8-17)18-9-5-2-6-10-18/h1-10,16,19,24H,11-15H2",[O][C][Branch2][Ring1][C][C][=Branch1][C][=O][O][C][C][N][C][C][C][Ring1][=Branch1][C][C][Ring1][=Branch1][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],"1-azabicyclo[2.2.2]octan-8-yl 2-hydroxy-2,2-di(phenyl)acetate",medium,0,1
CHEMBL1412343,2.7,Cc1ccccc1NC(=O)CCS(=O)(=O)c2ccc(Br)s2,"InChI=1S/C14H14BrNO3S2/c1-10-4-2-3-5-11(10)16-13(17)8-9-21(18,19)14-7-6-12(15)20-14/h2-7H,8-9H2,1H3,(H,16,17)",[C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][C][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][Br][S][Ring1][=Branch1],3-(5-bromothiophen-2-yl)sulfonyl-n-(2-methylphenyl)propanamide,large,1,3
CHEMBL239513,2.87,O=C(COc1ccccc1)c2ccccc2,"InChI=1S/C14H12O2/c15-14(12-7-3-1-4-8-12)11-16-13-9-5-2-6-10-13/h1-10H,11H2",[O][=C][Branch1][O][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],2-(phenoxy)-1-phenylethanone,large,1,3
