smiles,mp
CN(C1=CC2=NC3=C(C=CC4=C3COCN4)C=C2C=C1)S(C)(=O)=O,300.0
CNC1=CC=C2C=C3C=CC(=CC3=NC2=C1CO)N(C)S(C)(=O)=O,150.0
CCOC(=O)NC1=CC2=NC3=C(C=CC4=C3COCN4C(=O)OCC)C=C2C=C1,174.0
CCOC(=O)NC1=CC=C2C=C3C=CC4=C(COC(=O)N4)C3=NC2=C1,235.0
CCOC(=O)NC1=CC2=NC3=C(C=CC(N)=C3CO)C=C2C=C1,135.0
CCOC(=O)NC1=CC2=NC3=C(C=CC(NC)=C3CO)C=C2C=C1,145.0
CN1COCC2=C1C=CC1=C2N=C2C(C=CC(N)=C2CO)=C1,235.0
CCOC(=O)N1COCC2=C1C=CC1=C2N=C2C(CO)=C(NC)C=CC2=C1,146.0
CCOC(=O)N1COCC2=C1C=CC1=CC3=C(N=C21)C1=C(C=C3)N(COC1)C(=O)OCC,195.0
C1NC2=C(CO1)C1=NC3=C(C=CC4=C3COCN4)C=C1C=C2,235.0
CNC1=CC=C2C=C3C=CC4=C(COCN4)C3=NC2=C1CO,105.0
CNC1=C(CO)C2=NC3=C(C=CC4=C3COCN4S(C)(=O)=O)C=C2C=C1,205.0
O=N(=O)OCC(CON(=O)=O)ON(=O)=O,14.0
OC1=CC=NC(S)=N1,300.0
O=C1NCCN1C1=NC=C(S1)N(=O)=O,261.0
NS(=O)(=O)C1=C(Cl)C=C2N=CNS(=O)(=O)C2=C1,342.0
CN1C=NC2=C1C(=O)NC(=O)N2C,357.0
CCC1(CC)C(=O)NC(=O)NC1=O,190.0
CCCC1CCCCN1,-2.0
CCOC1=CC=C2N=C(SC2=C1)S(N)(=O)=O,188.0
CC1=NN=C(NS(=O)(=O)C2=CC=C(N)C=C2)S1,208.0
NC(CC1=CC=C(O)C(O)=C1)C(O)=O,295.0
CCOC1=CC=C(NC(N)=O)C=C1,173.0
CCC1(CC)C(=O)NC(=O)N(C)C1=O,155.0
NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=N1,254.0
CCC1NC(=O)C2=CC(=C(Cl)C=C2N1)S(N)(=O)=O,251.0
OCC1OC(C(O)C1O)N1C=NC2=C1N=CNC2=O,213.0
OCC(NC(=O)C(Cl)Cl)C(O)C1=CC=C(C=C1)N(=O)=O,150.0
CC1=C(C)N=C(NS(=O)(=O)C2=CC=C(N)C=C2)O1,193.0
CCC(N)CC1=CNC2=CC=CC=C12,97.0
CC(C)(C)C1=NN=C(NS(=O)(=O)C2=CC=C(N)C=C2)S1,222.0
CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O,132.0
OC1=CC=C(Cl)C=C1C(=O)NC1=CC=C(C=C1Cl)N(=O)=O,230.0
CCN(CC)CCOC(=O)C1=CC=C(N)C=C1,61.0
OC(=O)C1=CC=CC=C1NC1=CC(=CC=C1)C(F)(F)F,134.0
COC1=C2OC(C)=CC(=O)C2=C(OC)C2=C1OC=C2,155.0
CCC1(C(=O)NC(=O)NC1=O)C1=CC2CCC(C2)C1,213.0
COC1=CC=C(CC2NCC(O)C2OC(C)=O)C=C1,141.0
CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,175.0
CN1C2=CC=CC=C2SC2=CC=C(CC(O)=O)C=C12,146.0
NS(=O)(=O)C1=CC2=C(NC(CC3=CC=CC=C3)NS2(=O)=O)C=C1C(F)(F)F,222.0
