inchiKey,smiles,MolView_url,homo,lumo,verticalExcitationEnergy,redoxPotentialS0,redoxPotentialS1,redoxPotentialT1,dipoleMomentS0,dipoleMomentS1,dipoleMomentT1,zero0s1,zero0t1,ionizationPotential,source_directory
AAACLBGNAMDLRM-UHFFFAOYSA-N,[O-][N+](=O)C1=CC=C(C1)c1cc2c3cc(C4=CC=C(C4)[N+](=O)[O-])c4c5c3c(c3c2c2c1cccc2c(c3)C1=CC=C(C1)[N+](=O)[O-])cc(c5ccc4)C1=CC=C(C1)[N+](=O)[O-],http://molview.org/?q=[O-][N+](=O)C1=CC=C(C1)c1cc2c3cc(C4=CC=C(C4)[N+](=O)[O-])c4c5c3c(c3c2c2c1cccc2c(c3)C1=CC=C(C1)[N+](=O)[O-])cc(c5ccc4)C1=CC=C(C1)[N+](=O)[O-],-5.68,-3.29,2.98,,,,7.65,7.65,9.44,1.55,0.33,6.94,/scratch/abreha.b/dibenzoperylenes
AABWABYCSVIRCD-UHFFFAOYSA-N,N#Cc1c(cc(cc1c1[nH]cc(c1)C)C#N)c1[nH]cc(c1)C,http://molview.org/?q=N#Cc1c(cc(cc1c1[nH]cc(c1)C)C#N)c1[nH]cc(c1)C,-6.0,-2.7,2.87,-1.25,,-3.15,1.94,1.94,8.3,,1.9,7.23,/scratch/adrion.d/workflow/dicyanobenzene_2_5
AAORCGFHHZZHNA-DQRAZIAOSA-N,O=Cn1cccc1c1ccc([nH]1)/N=N\c1ccc([nH]1)c1cccn1C=O,http://molview.org/?q=O=Cn1cccc1c1ccc([nH]1)/N=N\c1ccc([nH]1)c1cccn1C=O,-5.5,-2.53,2.99,0.83,-0.62,0.59,7.91,7.91,6.94,1.45,0.24,5.68,/scratch/abreha.b/photoswitch_flows/pyrrole_cis
AAVCLCWJGYZTDA-DQRAZIAOSA-N,Sc1ccc(nc1)c1ccc(s1)/N=N\c1ccc(s1)c1ccc(cn1)S,http://molview.org/?q=Sc1ccc(nc1)c1ccc(s1)/N=N\c1ccc(s1)c1ccc(cn1)S,-5.99,-2.94,2.56,0.85,,,8.12,8.12,6.76,,,6.46,/scratch/mileson.b/thiophene_cis
AAVCLCWJGYZTDA-QURGRASLSA-N,Sc1ccc(nc1)c1ccc(s1)/N=N/c1ccc(s1)c1ccc(cn1)S,http://molview.org/?q=Sc1ccc(nc1)c1ccc(s1)/N=N/c1ccc(s1)c1ccc(cn1)S,-5.83,-3.05,2.86,1.03,,0.19,4.23,4.23,3.79,,0.84,6.46,/scratch/abreha.b/photoswitch_flows/thiophene_trans
ABQDDWFBVUXCCM-UHFFFAOYSA-N,C1=CC=C(C1)c1cc2c3cc(C4=CC=CC4)c4c5c3c(c3c2c2c1cccc2c(c3)C1=CC=CC1)cc(c5ccc4)C1=CC=CC1,http://molview.org/?q=C1=CC=C(C1)c1cc2c3cc(C4=CC=CC4)c4c5c3c(c3c2c2c1cccc2c(c3)C1=CC=CC1)cc(c5ccc4)C1=CC=CC1,-5.11,-2.43,2.93,-4.26,-6.11,-5.33,1.27,1.27,1.45,1.85,1.07,5.75,/scratch/abreha.b/dibenzoperylenes
ACHAKXGARSBJCU-FMQUCBEESA-N,ClC1=CC=C(S1(=O)=O)c1ccc(o1)/N=N/c1ccc(o1)C1=CC=C(S1(=O)=O)Cl,http://molview.org/?q=ClC1=CC=C(S1(=O)=O)c1ccc(o1)/N=N/c1ccc(o1)C1=CC=C(S1(=O)=O)Cl,-6.15,-3.67,2.42,1.29,-0.51,0.86,0.0,0.0,0.0,1.8,0.43,7.04,/scratch/adrion.d/workflow/furan_trans
ACQPYVKVSJDFCK-FMQUCBEESA-N,COc1cnc(o1)c1ccc(o1)/N=N/c1ccc(o1)c1ncc(o1)OC,http://molview.org/?q=COc1cnc(o1)c1ccc(o1)/N=N/c1ccc(o1)c1ncc(o1)OC,-5.68,-3.0,2.7,0.79,-1.24,0.03,3.72,3.72,3.7,2.03,0.76,6.34,/scratch/adrion.d/workflow/furan_trans
ACTGLTIMWSZFGY-UHFFFAOYSA-N,Cc1ccc(nc1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ccc(cn1)C,http://molview.org/?q=Cc1ccc(nc1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ccc(cn1)C,-5.42,-2.45,1.5,0.56,-1.54,-0.68,5.01,5.01,5.02,2.1,1.24,6.04,/scratch/abreha.b/dibenzoperylenes_2sub
ADAZAFCPASNDPP-FMQUCBEESA-N,O=Cn1c(O)ccc1c1ccc(s1)/N=N/c1ccc(s1)c1ccc(n1C=O)O,http://molview.org/?q=O=Cn1c(O)ccc1c1ccc(s1)/N=N/c1ccc(s1)c1ccc(n1C=O)O,-5.56,-2.96,3.05,0.61,,-0.13,1.15,1.15,0.37,,0.74,6.33,/scratch/abreha.b/photoswitch_flows/thiophene_trans
ADAZAFCPASNDPP-VXPUYCOJSA-N,O=Cn1c(O)ccc1c1ccc(s1)/N=N\c1ccc(s1)c1ccc(n1C=O)O,http://molview.org/?q=O=Cn1c(O)ccc1c1ccc(s1)/N=N\c1ccc(s1)c1ccc(n1C=O)O,-5.6,-2.92,2.45,0.55,,,5.51,5.51,5.57,,,6.32,/scratch/mileson.b/thiophene_cis
